entity1_canonical_text,entity1_type,pred_label,entity2_canonical_text,entity2_type,relation_group,relation_count,max_pred_score,mean_pred_score,pmids,unique_pmid_count,same_sentence_count,has_validated_pesticide,has_unvalidated_chemical,example_title
heavy metals,ChemicalEntity,Association,1H-pyridine-2-thione,ChemicalEntity,General association,1,9.026814,9.027,19067015,1,1,False,True,Adsorption of lambda-cyhalothrin and cypermethrin on two typical Chinese soils as affected by copper.
spinosad,ChemicalEntity,Negative_Correlation,thrips,DiseaseOrPhenotypicFeature,Negative effect,1,9.025794,9.026,21770013,1,1,True,False,Integrated management of Thrips tabaci (Thysanoptera: Thripidae) on onion in north-western Italy: basic approaches for supervised control.
methomyl,ChemicalEntity,Association,cyprodinil,ChemicalEntity,General association,1,9.025652,9.026,17474521,1,1,True,False,Determination of pesticide residues in foods by acetonitrile extraction and partitioning with magnesium sulfate: collaborative study.
"1,9,10,11,12,12-hexachloro-4,6-dioxa-5lambda6-thiatricyclo[7.2.1.02,8]dodec-10-ene 5,5-dioxide",ChemicalEntity,Association,diethion,ChemicalEntity,General association,1,9.025435,9.025,17474521,1,1,True,False,Determination of pesticide residues in foods by acetonitrile extraction and partitioning with magnesium sulfate: collaborative study.
acephate,ChemicalEntity,Association,bifenthrin,ChemicalEntity,General association,1,9.025435,9.025,17523144,1,1,True,False,Toxicity of insecticides to the sweetpotato whitefly (Hemiptera: Aleyrodidae) and its natural enemies.
acetamiprid,ChemicalEntity,Association,Toxicity,DiseaseOrPhenotypicFeature,General association,1,9.025435,9.025,17523144,1,0,True,False,Toxicity of insecticides to the sweetpotato whitefly (Hemiptera: Aleyrodidae) and its natural enemies.
acetamiprid,ChemicalEntity,Association,imidacloprid,ChemicalEntity,General association,1,9.025435,9.025,17523144,1,1,True,False,Toxicity of insecticides to the sweetpotato whitefly (Hemiptera: Aleyrodidae) and its natural enemies.
acetamiprid,ChemicalEntity,Association,permethrin,ChemicalEntity,General association,1,9.025435,9.025,17523144,1,1,True,False,Toxicity of insecticides to the sweetpotato whitefly (Hemiptera: Aleyrodidae) and its natural enemies.
carbophos,ChemicalEntity,Association,Acanthinus,OrganismTaxon,General association,1,9.025435,9.025,17523144,1,1,True,False,Toxicity of insecticides to the sweetpotato whitefly (Hemiptera: Aleyrodidae) and its natural enemies.
cartap,ChemicalEntity,Association,B. tabaci,OrganismTaxon,General association,1,9.025435,9.025,17523144,1,1,True,False,Toxicity of insecticides to the sweetpotato whitefly (Hemiptera: Aleyrodidae) and its natural enemies.
chlorpyrifos-methyl,ChemicalEntity,Association,pyridaben,ChemicalEntity,General association,1,9.025435,9.025,17487602,1,1,True,False,Safe apples for baby-food production: survey of pesticide treatment regimes leaving minimum residues.
fenoxycarb,ChemicalEntity,Association,thiacloprid,ChemicalEntity,General association,1,9.025435,9.025,17487602,1,1,True,False,Safe apples for baby-food production: survey of pesticide treatment regimes leaving minimum residues.
kale,ChemicalEntity,Association,B. tabaci,OrganismTaxon,General association,1,9.025435,9.025,17523144,1,1,False,True,Toxicity of insecticides to the sweetpotato whitefly (Hemiptera: Aleyrodidae) and its natural enemies.
pyridaben,ChemicalEntity,Association,thiacloprid,ChemicalEntity,General association,1,9.025435,9.025,17487602,1,1,True,False,Safe apples for baby-food production: survey of pesticide treatment regimes leaving minimum residues.
tolyfluanid,ChemicalEntity,Association,apple,OrganismTaxon,General association,1,9.025435,9.025,17487602,1,1,True,False,Safe apples for baby-food production: survey of pesticide treatment regimes leaving minimum residues.
"trans-[(S)-cyano-(3-phenoxyphenyl)methyl] (1R,3R)-3-(2,2-dibromoethenyl)-2,2-dimethylcyclopropane-1-carboxylate",ChemicalEntity,Association,Lasiochilus,OrganismTaxon,General association,1,9.025435,9.025,17523144,1,1,False,False,Toxicity of insecticides to the sweetpotato whitefly (Hemiptera: Aleyrodidae) and its natural enemies.
methamidophos,ChemicalEntity,Association,"4-(1H-benzimidazol-2-yl)-1,3-thiazole",ChemicalEntity,General association,1,9.025259,9.025,17474521,1,1,True,False,Determination of pesticide residues in foods by acetonitrile extraction and partitioning with magnesium sulfate: collaborative study.
"(1R,2R,4S)-2-(6-chloro-3-pyridinyl)-7-azabicyclo[2.2.1]heptane",ChemicalEntity,Association,nicotinic AChR,GeneOrGeneProduct,General association,2,9.024709,7.381,9504393,1,2,False,False,Effects of the alpha subunit on imidacloprid sensitivity of recombinant nicotinic acetylcholine receptors.
2-acetyloxyethyl(trimethyl)azanium,ChemicalEntity,Association,nicotinic AChR,GeneOrGeneProduct,General association,2,9.024709,8.397,9504393,1,2,False,False,Effects of the alpha subunit on imidacloprid sensitivity of recombinant nicotinic acetylcholine receptors.
)-,ChemicalEntity,Association,SAD chicken beta2 receptor,GeneOrGeneProduct,General association,1,9.024709,9.025,9504393,1,1,False,True,Effects of the alpha subunit on imidacloprid sensitivity of recombinant nicotinic acetylcholine receptors.
"1H-pyrimidine-2,4-dione",ChemicalEntity,Association,cyclohexane,ChemicalEntity,General association,1,9.024709,9.025,9535186,1,0,False,False,Gas chromatographic method for determination of uracil herbicides in roots of Echinacea angustifolia Moench (Asteraceae).
"1H-pyrimidine-2,4-dione",ChemicalEntity,Association,water,ChemicalEntity,General association,1,9.024709,9.025,9535186,1,1,False,True,Gas chromatographic method for determination of uracil herbicides in roots of Echinacea angustifolia Moench (Asteraceae).
2-acetyloxyethyl(trimethyl)azanium,ChemicalEntity,Association,alpha4beta2 receptors,GeneOrGeneProduct,General association,1,9.024709,9.025,9504393,1,1,False,False,Effects of the alpha subunit on imidacloprid sensitivity of recombinant nicotinic acetylcholine receptors.
2-acetyloxyethyl(trimethyl)azanium,ChemicalEntity,Association,neuronal alpha subunit,GeneOrGeneProduct,General association,1,9.024709,9.025,9504393,1,1,False,False,Effects of the alpha subunit on imidacloprid sensitivity of recombinant nicotinic acetylcholine receptors.
2-acetyloxyethyl(trimethyl)azanium,ChemicalEntity,Association,neuronal nicotinic acetylcholine receptors,GeneOrGeneProduct,General association,1,9.024709,9.025,9504393,1,1,False,False,Effects of the alpha subunit on imidacloprid sensitivity of recombinant nicotinic acetylcholine receptors.
3-[(2S)-1-methylpyrrolidin-2-yl]pyridine,ChemicalEntity,Association,imidacloprid,ChemicalEntity,General association,1,9.024709,9.025,9504393,1,1,True,False,Effects of the alpha subunit on imidacloprid sensitivity of recombinant nicotinic acetylcholine receptors.
3-[(2S)-1-methylpyrrolidin-2-yl]pyridine,ChemicalEntity,Association,neuronal alpha subunit,GeneOrGeneProduct,General association,1,9.024709,9.025,9504393,1,1,False,False,Effects of the alpha subunit on imidacloprid sensitivity of recombinant nicotinic acetylcholine receptors.
aldrin,ChemicalEntity,Association,benzoepin,ChemicalEntity,General association,1,9.024709,9.025,9599457,1,1,True,False,Concentrations and spatial variations of cyclodienes and other organochlorines in herring and perch from the Baltic Sea.
alpha4beta2 receptors,GeneOrGeneProduct,Association,insect,OrganismTaxon,General association,1,9.024709,9.025,9504393,1,1,False,False,Effects of the alpha subunit on imidacloprid sensitivity of recombinant nicotinic acetylcholine receptors.
bromacil,ChemicalEntity,Association,water,ChemicalEntity,General association,1,9.024709,9.025,9535186,1,1,True,True,Gas chromatographic method for determination of uracil herbicides in roots of Echinacea angustifolia Moench (Asteraceae).
imidacloprid,ChemicalEntity,Association,chicken,OrganismTaxon,General association,1,9.024709,9.025,9504393,1,1,True,False,Effects of the alpha subunit on imidacloprid sensitivity of recombinant nicotinic acetylcholine receptors.
lenacil,ChemicalEntity,Association,propan-2-one,ChemicalEntity,General association,1,9.024709,9.025,9535186,1,1,True,False,Gas chromatographic method for determination of uracil herbicides in roots of Echinacea angustifolia Moench (Asteraceae).
imidacloprid,ChemicalEntity,Association,house fly,OrganismTaxon,General association,1,9.023992,9.024,39182229,1,1,True,False,Examining imidacloprid behaviorally resistant house flies (Musca domestica L.) (Diptera: Muscidae) for neonicotinoid cross-resistance.
GBH,ChemicalEntity,Positive_Correlation,O-glycosides,ChemicalEntity,Positive effect,1,9.023742,9.024,35154181,1,1,False,True,A Glyphosate-Based Herbicide in Soil Differentially Affects Hormonal Homeostasis and Performance of Non-target Crop Plants.
polyvinylpolypyrrolidone,ChemicalEntity,Association,potassium caseinate,ChemicalEntity,General association,1,9.022943,9.023,10775335,1,1,False,True,"Pesticide residues in grapes, wine, and their processing products."
"(1E,6E)-1,7-bis(4-hydroxy-3-methoxyphenyl)hepta-1,6-diene-3,5-dione",ChemicalEntity,Negative_Correlation,"(1E,6E)-1,7-bis(4-hydroxy-3-methoxyphenyl)hepta-1,6-diene-3,5-dione",ChemicalEntity,Negative effect,1,9.022083,9.022,28980111,1,0,False,False,"Neuroprotective effects of curcumin against acetamiprid-induced neurotoxicity and oxidative stress in the developing male rat cerebellum: biochemical, histological, and behavioral changes."
"(1E,6E)-1,7-bis(4-hydroxy-3-methoxyphenyl)hepta-1,6-diene-3,5-dione",ChemicalEntity,Negative_Correlation,rats,OrganismTaxon,Negative effect,1,9.022083,9.022,28980111,1,1,False,False,"Neuroprotective effects of curcumin against acetamiprid-induced neurotoxicity and oxidative stress in the developing male rat cerebellum: biochemical, histological, and behavioral changes."
ACE,GeneOrGeneProduct,Negative_Correlation,ACE,GeneOrGeneProduct,Negative effect,1,9.022083,9.022,28980111,1,1,False,False,"Neuroprotective effects of curcumin against acetamiprid-induced neurotoxicity and oxidative stress in the developing male rat cerebellum: biochemical, histological, and behavioral changes."
BChE,GeneOrGeneProduct,Negative_Correlation,rats,OrganismTaxon,Negative effect,1,9.022083,9.022,28980111,1,1,False,False,"Neuroprotective effects of curcumin against acetamiprid-induced neurotoxicity and oxidative stress in the developing male rat cerebellum: biochemical, histological, and behavioral changes."
CUR,ChemicalEntity,Negative_Correlation,neurotoxicity,DiseaseOrPhenotypicFeature,Negative effect,1,9.022083,9.022,28980111,1,0,False,True,"Neuroprotective effects of curcumin against acetamiprid-induced neurotoxicity and oxidative stress in the developing male rat cerebellum: biochemical, histological, and behavioral changes."
CUR,ChemicalEntity,Negative_Correlation,rats,OrganismTaxon,Negative effect,1,9.022083,9.022,28980111,1,1,False,True,"Neuroprotective effects of curcumin against acetamiprid-induced neurotoxicity and oxidative stress in the developing male rat cerebellum: biochemical, histological, and behavioral changes."
acetamiprid,ChemicalEntity,Negative_Correlation,on,DiseaseOrPhenotypicFeature,Negative effect,1,9.022083,9.022,28980111,1,1,True,False,"Neuroprotective effects of curcumin against acetamiprid-induced neurotoxicity and oxidative stress in the developing male rat cerebellum: biochemical, histological, and behavioral changes."
acetamiprid,ChemicalEntity,Negative_Correlation,rats,OrganismTaxon,Negative effect,1,9.022083,9.022,28980111,1,1,True,False,"Neuroprotective effects of curcumin against acetamiprid-induced neurotoxicity and oxidative stress in the developing male rat cerebellum: biochemical, histological, and behavioral changes."
herbal drug,ChemicalEntity,Negative_Correlation,necrosis,DiseaseOrPhenotypicFeature,Negative effect,1,9.022083,9.022,28980111,1,1,False,True,"Neuroprotective effects of curcumin against acetamiprid-induced neurotoxicity and oxidative stress in the developing male rat cerebellum: biochemical, histological, and behavioral changes."
iprodione,ChemicalEntity,Negative_Correlation,acetamiprid,ChemicalEntity,Negative effect,1,9.022083,9.022,29091792,1,1,True,False,Single and joint toxicity assessment of four currently used pesticides to zebrafish (Danio rerio) using traditional and molecular endpoints.
iprodione,ChemicalEntity,Negative_Correlation,toxicity,DiseaseOrPhenotypicFeature,Negative effect,1,9.022083,9.022,29091792,1,1,True,False,Single and joint toxicity assessment of four currently used pesticides to zebrafish (Danio rerio) using traditional and molecular endpoints.
pyraclostrobin,ChemicalEntity,Negative_Correlation,Tnf,GeneOrGeneProduct,Negative effect,1,9.022083,9.022,29091792,1,1,True,False,Single and joint toxicity assessment of four currently used pesticides to zebrafish (Danio rerio) using traditional and molecular endpoints.
pyrimethanil,ChemicalEntity,Negative_Correlation,Danio rerio,OrganismTaxon,Negative effect,1,9.022083,9.022,29091792,1,1,True,False,Single and joint toxicity assessment of four currently used pesticides to zebrafish (Danio rerio) using traditional and molecular endpoints.
pyrimethanil,ChemicalEntity,Negative_Correlation,P53,GeneOrGeneProduct,Negative effect,1,9.022083,9.022,29091792,1,1,True,False,Single and joint toxicity assessment of four currently used pesticides to zebrafish (Danio rerio) using traditional and molecular endpoints.
fenthion,ChemicalEntity,Association,carbophos,ChemicalEntity,General association,2,9.022046,8.988,17523144 | 7883312,2,2,True,False,Evaluation of susceptibility status of Culex quinquefasciatus larvae to few organophosphorus insecticides based on logistic regression analysis.
acephate,ChemicalEntity,Association,abamectin,ChemicalEntity,General association,1,9.022046,9.022,17523144,1,1,True,False,Toxicity of insecticides to the sweetpotato whitefly (Hemiptera: Aleyrodidae) and its natural enemies.
chlorpyrifos-methyl,ChemicalEntity,Association,teflubenzuron,ChemicalEntity,General association,1,9.022046,9.022,17487602,1,1,True,False,Safe apples for baby-food production: survey of pesticide treatment regimes leaving minimum residues.
cypermethrin,ChemicalEntity,Association,Acanthinus,OrganismTaxon,General association,1,9.022046,9.022,17523144,1,1,True,False,Toxicity of insecticides to the sweetpotato whitefly (Hemiptera: Aleyrodidae) and its natural enemies.
esfenvalerate,ChemicalEntity,Association,cartap,ChemicalEntity,General association,1,9.022046,9.022,17523144,1,1,True,False,Toxicity of insecticides to the sweetpotato whitefly (Hemiptera: Aleyrodidae) and its natural enemies.
ethyl 2-dimethoxyphosphinothioylsulfanyl-2-phenylacetate,ChemicalEntity,Association,abamectin,ChemicalEntity,General association,1,9.022046,9.022,17523144,1,1,True,False,Toxicity of insecticides to the sweetpotato whitefly (Hemiptera: Aleyrodidae) and its natural enemies.
etofenprox,ChemicalEntity,Association,tetraconazole,ChemicalEntity,General association,1,9.022046,9.022,17487602,1,1,True,False,Safe apples for baby-food production: survey of pesticide treatment regimes leaving minimum residues.
linuron,ChemicalEntity,Association,kresoxim-methyl,ChemicalEntity,General association,1,9.022046,9.022,17474521,1,1,True,False,Determination of pesticide residues in foods by acetonitrile extraction and partitioning with magnesium sulfate: collaborative study.
thiram,ChemicalEntity,Association,penconazole,ChemicalEntity,General association,1,9.022046,9.022,17487602,1,1,True,False,Safe apples for baby-food production: survey of pesticide treatment regimes leaving minimum residues.
toxicity,DiseaseOrPhenotypicFeature,Association,B. tabaci,OrganismTaxon,General association,1,9.022046,9.022,17523144,1,1,False,False,Toxicity of insecticides to the sweetpotato whitefly (Hemiptera: Aleyrodidae) and its natural enemies.
triazamate,ChemicalEntity,Association,Golden Delicious,OrganismTaxon,General association,1,9.022046,9.022,17487602,1,1,True,False,Safe apples for baby-food production: survey of pesticide treatment regimes leaving minimum residues.
DS,ChemicalEntity,Negative_Correlation,1-cyclopropyl-6-fluoro-4-oxo-7-piperazin-1-ylquinoline-3-carboxylic acid,ChemicalEntity,Negative effect,3,9.021859,8.809,39197517,1,3,False,True,Neuroprotective effect of diosmin against chlorpyrifos-induced brain intoxication was mediated by regulating PPAR-γ and NF-κB/AP-1 signals.
SOD,GeneOrGeneProduct,Positive_Correlation,glutathione reductase,GeneOrGeneProduct,Positive effect,1,9.0216675,9.022,15991261,1,1,False,False,Protective effect of black tea extract on the levels of lipid peroxidation and antioxidant enzymes in liver of mice with pesticide-induced liver injury.
aqueous,ChemicalEntity,Positive_Correlation,pesticide,ChemicalEntity,Positive effect,1,9.0216675,9.022,15991261,1,1,False,True,Protective effect of black tea extract on the levels of lipid peroxidation and antioxidant enzymes in liver of mice with pesticide-induced liver injury.
black tea extract,ChemicalEntity,Positive_Correlation,GPx,GeneOrGeneProduct,Positive effect,1,9.0216675,9.022,15991261,1,1,False,True,Protective effect of black tea extract on the levels of lipid peroxidation and antioxidant enzymes in liver of mice with pesticide-induced liver injury.
black tea extract,ChemicalEntity,Positive_Correlation,lipid,ChemicalEntity,Positive effect,1,9.0216675,9.022,15991261,1,1,False,True,Protective effect of black tea extract on the levels of lipid peroxidation and antioxidant enzymes in liver of mice with pesticide-induced liver injury.
black tea extract,ChemicalEntity,Positive_Correlation,liver injury,DiseaseOrPhenotypicFeature,Positive effect,1,9.0216675,9.022,15991261,1,0,False,True,Protective effect of black tea extract on the levels of lipid peroxidation and antioxidant enzymes in liver of mice with pesticide-induced liver injury.
"diethoxy-sulfanylidene-[(3,5,6-trichloro-2-pyridinyl)oxy]-lambda5-phosphane",ChemicalEntity,Positive_Correlation,toxicity,DiseaseOrPhenotypicFeature,Positive effect,1,9.0216675,9.022,15991261,1,1,False,False,Protective effect of black tea extract on the levels of lipid peroxidation and antioxidant enzymes in liver of mice with pesticide-induced liver injury.
lipid,ChemicalEntity,Positive_Correlation,(2S)-2-amino-5-[[(2R)-1-(carboxymethylamino)-1-oxo-3-sulfanylpropan-2-yl]amino]-5-oxopentanoic acid,ChemicalEntity,Positive effect,1,9.0216675,9.022,15991261,1,0,False,True,Protective effect of black tea extract on the levels of lipid peroxidation and antioxidant enzymes in liver of mice with pesticide-induced liver injury.
lipid,ChemicalEntity,Positive_Correlation,AST,GeneOrGeneProduct,Positive effect,1,9.0216675,9.022,15991261,1,1,False,True,Protective effect of black tea extract on the levels of lipid peroxidation and antioxidant enzymes in liver of mice with pesticide-induced liver injury.
lipid,ChemicalEntity,Positive_Correlation,sulfane,ChemicalEntity,Positive effect,1,9.0216675,9.022,15991261,1,1,False,True,Protective effect of black tea extract on the levels of lipid peroxidation and antioxidant enzymes in liver of mice with pesticide-induced liver injury.
liver injury,DiseaseOrPhenotypicFeature,Positive_Correlation,mice,OrganismTaxon,Positive effect,1,9.0216675,9.022,15991261,1,0,False,False,Protective effect of black tea extract on the levels of lipid peroxidation and antioxidant enzymes in liver of mice with pesticide-induced liver injury.
polyphenols,ChemicalEntity,Positive_Correlation,GST,GeneOrGeneProduct,Positive effect,1,9.0216675,9.022,15991261,1,1,False,True,Protective effect of black tea extract on the levels of lipid peroxidation and antioxidant enzymes in liver of mice with pesticide-induced liver injury.
polyphenols,ChemicalEntity,Positive_Correlation,mice,OrganismTaxon,Positive effect,1,9.0216675,9.022,15991261,1,1,False,True,Protective effect of black tea extract on the levels of lipid peroxidation and antioxidant enzymes in liver of mice with pesticide-induced liver injury.
sulfane,ChemicalEntity,Positive_Correlation,ALP,GeneOrGeneProduct,Positive effect,1,9.0216675,9.022,15991261,1,1,False,False,Protective effect of black tea extract on the levels of lipid peroxidation and antioxidant enzymes in liver of mice with pesticide-induced liver injury.
N-isopropylamine,ChemicalEntity,Association,"4-(ethylamino)-6-(propan-2-ylamino)-1H-1,3,5-triazin-2-one",ChemicalEntity,General association,1,9.020421,9.02,16349478,1,1,False,True,Molecular basis of a bacterial consortium: interspecies catabolism of atrazine.
neonicotinoid,ChemicalEntity,Association,CYP4c1,GeneOrGeneProduct,General association,1,9.019664,9.02,35735842,1,1,True,False,Characterization of Insecticide Response-Associated Transcripts in the Colorado Potato Beetle: Relevance of Selected Cytochrome P450s and Clothianidin.
mesotrione,ChemicalEntity,Association,4-methyl-sulfonyl-2-nitrobenzoic acid,ChemicalEntity,General association,1,9.019393,9.019,28188550,1,1,True,True,Quantification of the fate of mesotrione applied alone or in a herbicide mixture in two Brazilian arable soils.
"1,2-dimethoxy-12-methyl-[1,3]benzodioxolo[5,6-c]phenanthridin-12-ium;hydrochloride",ChemicalEntity,Association,OP insecticide,ChemicalEntity,General association,1,9.018808,9.019,12767693,1,1,False,True,Characterization of the in vitro kinetic interaction of chlorpyrifos-oxon with rat salivary cholinesterase: a potential biomonitoring matrix.
[4-[5-[4-[dimethyl(prop-2-enyl)azaniumyl]phenyl]-3-oxopentyl]phenyl]-dimethyl-prop-2-enylazanium,ChemicalEntity,Association,AChE,GeneOrGeneProduct,General association,1,9.018808,9.019,12767693,1,1,False,False,Characterization of the in vitro kinetic interaction of chlorpyrifos-oxon with rat salivary cholinesterase: a potential biomonitoring matrix.
chlorpyrifos,ChemicalEntity,Association,methane,ChemicalEntity,General association,1,9.0185585,9.019,10775335,1,1,True,False,"Pesticide residues in grapes, wine, and their processing products."
permethrin,ChemicalEntity,Negative_Correlation,D. folliculorum,OrganismTaxon,Negative effect,1,9.016916,9.017,11198383,1,1,True,False,Demodex folliculorum causing pathological lesions in immunocompetent children.
thiamethoxam,ChemicalEntity,Association,nAChRs,GeneOrGeneProduct,General association,1,9.01626,9.016,22847768,1,1,True,False,Thiamethoxam acts as a target-site synergist of spinosad in resistant strains of Frankliniella occidentalis.
MC,ChemicalEntity,Negative_Correlation,"magnesium methyl (3R,21S,22S)-16-ethenyl-11-ethyl-12,17,21,26-tetramethyl-4-oxo-22-[3-oxo-3-[(E,7R,11R)-3,7,11,15-tetramethylhexadec-2-enoxy]propyl]-23,25-diaza-7,24-diazanidahexacyclo[18.2.1.15,8.110,13.115,18.02,6]hexacosa-1,5,8(26),9,11,13(25),14,16,18,20(23)-decaene-3-carboxylate",ChemicalEntity,Negative effect,1,9.016155,9.016,23456723,1,1,False,True,"Quantification of toxic effects of the herbicide metolachlor on marine microalgae Ditylum brightwellii (Bacillariophyceae), Prorocentrum minimum (Dinophyceae), and Tetraselmis suecica (Chlorophyceae)."
atrazine,ChemicalEntity,Association,polyphenol,ChemicalEntity,General association,1,9.015697,9.016,31549674,1,1,True,True,Atrazine-induced toxicity in goat spermatozoa is alleviated to some extent by polyphenol-enriched feed.
"1-[4-[7-(diethylamino)-4-methyl-2-oxochromen-3-yl]phenyl]pyrrole-2,5-dione",ChemicalEntity,Association,cypermethrin,ChemicalEntity,General association,2,9.015644,9.016,19067015,1,2,True,False,Adsorption of lambda-cyhalothrin and cypermethrin on two typical Chinese soils as affected by copper.
spinosad,ChemicalEntity,Positive_Correlation,ALT,GeneOrGeneProduct,Positive effect,1,9.015594,9.016,26081270,1,1,True,False,Hepato- and nephrotoxicity in male albino rats exposed to malathion and spinosad in stored wheat grains.
DS,ChemicalEntity,Negative_Correlation,Tau,GeneOrGeneProduct,Negative effect,1,9.015418,9.015,39197517,1,1,False,True,Neuroprotective effect of diosmin against chlorpyrifos-induced brain intoxication was mediated by regulating PPAR-γ and NF-κB/AP-1 signals.
carbendazim,ChemicalEntity,Negative_Correlation,S. sclerotiorum,DiseaseOrPhenotypicFeature,Negative effect,1,9.014211,9.014,36166914,1,1,True,False,Postharvest sclerotinia rot control in carrot by the natural product hinokitiol and the potential mechanisms involved.
anxiety,DiseaseOrPhenotypicFeature,Negative_Correlation,ACE,GeneOrGeneProduct,Negative effect,1,9.014188,9.014,27375407,1,1,False,False,In utero and Lactational Exposure to Acetamiprid Induces Abnormalities in Socio-Sexual and Anxiety-Related Behaviors of Male Mice.
"(3S,6S,9S,12R,15S,18S,21S,24S,30S,33S)-30-ethyl-33-[(E,1R,2R)-1-hydroxy-2-methylhex-4-enyl]-1,4,7,10,12,15,19,25,28-nonamethyl-6,9,18,24-tetrakis(2-methylpropyl)-3,21-di(propan-2-yl)-1,4,7,10,13,16,19,22,25,28,31-undecazacyclotritriacontane-2,5,8,11,14,17,20,23,26,29,32-undecone",ChemicalEntity,Negative_Correlation,"[(1R,2S,6S,9R)-4,4,11,11-tetramethyl-3,5,7,10,12-pentaoxatricyclo[7.3.0.02,6]dodecan-6-yl]methyl sulfamate",ChemicalEntity,Negative effect,1,9.013847,9.014,24014652,1,1,False,False,"Lack of P-glycoprotein-mediated efflux and the potential involvement of an influx transport process contributing to the intestinal uptake of deltamethrin, cis-permethrin, and trans-permethrin."
glyphosate,ChemicalEntity,Negative_Correlation,(2S)-2-amino-5-[[(2R)-1-(carboxymethylamino)-1-oxo-3-sulfanylpropan-2-yl]amino]-5-oxopentanoic acid,ChemicalEntity,Negative effect,1,9.013312,9.013,35677960,1,1,True,False,Glyphosate decreases bovine oocyte quality by inducing oxidative stress and apoptosis.
cyfluthrin,ChemicalEntity,Positive_Correlation,ROS,ChemicalEntity,Positive effect,1,9.013128,9.013,32028016,1,1,True,True,Toxicologic evidence of developmental neurotoxicity of Type II pyrethroids cyfluthrin and alpha-cypermethrin in SH-SY5Y cells.
molecular chlorine,ChemicalEntity,Association,1H-pyridine-2-thione,ChemicalEntity,General association,2,9.013004,9.013,19067015,1,2,False,False,Adsorption of lambda-cyhalothrin and cypermethrin on two typical Chinese soils as affected by copper.
infection,DiseaseOrPhenotypicFeature,Association,Z. tritici,OrganismTaxon,General association,2,9.012626,8.43,29184021,1,2,False,False,Forward Genetics Approach Reveals Host Genotype-Dependent Importance of Accessory Chromosomes in the Fungal Wheat Pathogen Zymoseptoria tritici.
fungicide,ChemicalEntity,Association,piperonyl butoxide,ChemicalEntity,General association,1,9.012564,9.013,32943215,1,1,True,True,"Pesticide mixtures show potential toxicity to aquatic life in U.S. streams, water years 2013-2017."
mammary gland tumors,DiseaseOrPhenotypicFeature,Association,rat,OrganismTaxon,General association,1,9.01251,9.013,17443714,1,1,False,False,Atrazine and reproductive function: mode and mechanism of action studies.
chlorpyrifos,ChemicalEntity,Negative_Correlation,C. nasturtii,OrganismTaxon,Negative effect,1,9.01186,9.012,16573331,1,1,True,False,"Evaluation of insecticides and application methods against Contarinia nasturtii (Diptera: Cecidomyiidae), a new invasive insect pest in the United States."
herbicide,ChemicalEntity,Association,5-enolpyruvylshikimic acid 3-phosphate,GeneOrGeneProduct,General association,1,9.010768,9.011,24272263,1,1,False,True,Molecular basis for the overproduction of 5-enolpyruvylshikimate 3-phosphate synthase in a glyphosate-tolerant cell suspension culture of Corydalis sempervirens.
pyriproxyfen,ChemicalEntity,Negative_Correlation,C. externa,DiseaseOrPhenotypicFeature,Negative effect,1,9.010607,9.011,28915542,1,1,True,False,"Comparative susceptibility of two Neotropical predators, Eriopis connexa and Chrysoperla externa, to acetamiprid and pyriproxyfen: Short and long-term effects after egg exposure."
fipronil,ChemicalEntity,Positive_Correlation,hemolysis,DiseaseOrPhenotypicFeature,Positive effect,1,9.010159,9.01,36541066,1,1,True,False,"Comparative toxicological evaluation of carvacrol, acetylcarvacrol anda fipronil-based pesticide in human blood cells."
"(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraen-1-ol",ChemicalEntity,Negative_Correlation,dogs,OrganismTaxon,Negative effect,1,9.010118,9.01,20391120,1,1,False,False,Organohalogens in a whale-blubber-supplemented diet affects hepatic retinol and renal tocopherol concentrations in greenland sled dogs (Canis familiaris).
"(2R)-2,5,7,8-tetramethyl-2-[(4R,8R)-4,8,12-trimethyltridecyl]-3,4-dihydrochromen-6-ol",ChemicalEntity,Negative_Correlation,2-[3-(acetamidomethyl)-5-chlorophenyl]-N-(4-methyl-3-pyridinyl)acetamide,ChemicalEntity,Negative effect,1,9.010118,9.01,20391120,1,1,False,False,Organohalogens in a whale-blubber-supplemented diet affects hepatic retinol and renal tocopherol concentrations in greenland sled dogs (Canis familiaris).
"1-chloro-4-[2,2-dichloro-1-(4-chlorophenyl)ethenyl]benzene",ChemicalEntity,Negative_Correlation,rare minnow,OrganismTaxon,Negative effect,1,9.010118,9.01,20398951,1,0,False,False,"Alterations in mRNA expression of steroid receptors and heat shock proteins in the liver of rare minnow (Grobiocypris rarus) exposed to atrazine and p,p'-DDE."
2-[3-(acetamidomethyl)-5-chlorophenyl]-N-(4-methyl-3-pyridinyl)acetamide,ChemicalEntity,Negative_Correlation,dogs,OrganismTaxon,Negative effect,1,9.010118,9.01,20391120,1,1,False,False,Organohalogens in a whale-blubber-supplemented diet affects hepatic retinol and renal tocopherol concentrations in greenland sled dogs (Canis familiaris).
Sigma-dichlorodiphenyldichloroethane,ChemicalEntity,Negative_Correlation,SigmaDDT,ChemicalEntity,Negative effect,1,9.010118,9.01,20391120,1,1,False,True,Organohalogens in a whale-blubber-supplemented diet affects hepatic retinol and renal tocopherol concentrations in greenland sled dogs (Canis familiaris).
